Date,Open,High,Low,Close,Adj Close,Volume
2020-06-14,25176.000000,25310.000000,25080.000000,25257.000000,25257.000000,301082
2020-06-15,25183.000000,26029.000000,24550.000000,25987.000000,25987.000000,77500876
2020-06-16,26288.000000,26779.000000,25789.000000,26353.000000,26353.000000,58654880
2020-06-17,26170.000000,26623.000000,25989.000000,26007.000000,26007.000000,30062199
2020-06-18,25954.000000,26270.000000,25839.000000,26189.000000,26189.000000,15675368
2020-06-19,26110.000000,26480.000000,25509.000000,25513.000000,25513.000000,41360733
2020-06-21,25370.000000,25472.000000,25230.000000,25466.000000,25466.000000,746392
2020-06-22,25699.000000,26101.000000,25514.000000,26077.000000,26077.000000,88701234
2020-06-23,25945.000000,26294.000000,25833.000000,26006.000000,26006.000000,108711433
2020-06-24,26022.000000,26134.000000,25159.000000,25342.000000,25342.000000,115152966
2020-06-25,25255.000000,25659.000000,25003.000000,25597.000000,25597.000000,123720405
2020-06-26,25546.000000,25653.000000,24837.000000,24900.000000,24900.000000,100906732
2020-06-28,24777.000000,24921.000000,24743.000000,24910.000000,24910.000000,693090
2020-06-29,24911.000000,25607.000000,24839.000000,25559.000000,25559.000000,102649908
2020-06-30,25545.000000,25772.000000,25301.000000,25613.000000,25613.000000,80980569
2020-07-01,25620.000000,25893.000000,25381.000000,25611.000000,25611.000000,89992682
